종목명,Y_Change,Y_TA
한양증권,-36.795252225519285,612817378.5425102
한미글로벌,-9.387755102040817,1862009169.3117409
동방,-55.41090317331163,7764900145.809716
극동유화,-25.588235294117645,4136396433.502024
깨끗한나라,-48.507462686567166,1827533195.910931
삼익악기,-28.607594936708864,523893372.0647773
대창,-43.47826086956522,4628758458.400809
NI스틸,-19.47935368043088,1556002775.1821861
경동도시가스,-14.056224899598394,2963994826.3157897
한국공항,-16.315789473684212,702456347.5708503
남광토건,-43.12312312312312,722429995.708502
세아특수강,-17.49271137026239,328470831.57894737
한국화장품,-34.59915611814346,887482422.0647774
이아이디,-77.22807644222183,11128667515.724697
대구백화점,-26.190476190476193,270164101.01214576
카프로,-39.73973973973974,2573384643.360324
모나리자,-41.66666666666667,2477187691.59919
계양전기,-26.91664676379269,1768784907.299595
세이브존I&C,-24.7074122236671,469659106.4979757
태경비케이,-18.015414258188827,5525037826.862349
CJ씨푸드,-31.590181430096052,2683658369.3927126
KC그린홀딩스,-2.9850746268656714,927931785.931174
웅진,-53.21543408360129,7719446976.072874
플레이그램,30.785791173304627,4382117368.465587
SG세계물산,-34.651162790697676,2777017404.348178
인지컨트롤스,-55.343283582089555,1587978929.3927126
IHQ,-62.056555269922875,2862387430.854251
SH에너지화학,-16.666666666666664,11188190780.639677
일진디스플,-46.33204633204633,1180591275.6275303
대유플러스,-44.87654320987654,4824090541.821862
대원전선,-50.57096247960848,8716637628.765182
일신석재,-43.06122448979592,9699659485.08097
팜젠사이언스,-42.16450216450217,6210204683.319839
가온전선,-23.881319593332872,1013489486.2753036
한솔홈데코,-36.08490566037736,4692612184.109312
크라운해태홀딩스,-38.701298701298704,1050663788.0161943
상상인증권,-30.0,281753978.6923077
한국화장품제조,-35.138888888888886,1001845821.0526316
지엠비코리아,-23.25905292479109,917786782.0647774
신영와코루,-6.349206349206349,116910405.46558705
삼원강재,-31.63538873994638,150862660.1214575
조흥,-13.283208020050125,45986878.54251012
보락,-26.652452025586353,4314217899.02834
한일철강,22.6984126984127,1352213412.9149797
휴니드,-9.296781883194278,3931708073.279352
신세계건설,-44.96208017334778,780878749.1902834
대원화성,-14.188034188034187,17562094480.06073
마니커,-57.80645161290323,3691102137.408907
국제약품,-31.103678929765888,4495303003.635628
이구산업,-28.538283062645007,8836777779.291498
웰바이오텍,-50.16835016835017,2510081222.9352226
덕성,-73.70370370370371,23602996572.71255
삼일씨엔에스,-46.917808219178085,493422836.11336035
STX,-67.37864077669903,1073058304.271255
한창제지,-37.80718336483932,2160030903.097166
대유에이텍,-41.245674740484425,8218236066.364372
세원이앤씨,-38.48454636091725,2757890110.275304
서울식품,-34.005037783375315,6200605547.2712555
동방아그로,-20.225988700564972,874192353.8461539
콤텍시스템,-27.388535031847134,2640613602.591093
대현,-23.243243243243246,5123731299.65587
현대코퍼레이션홀딩스,-28.424657534246577,1056430319.1497976
아센디오,-56.7434831885153,1478176919.979757
한솔로지스틱스,-22.52747252747253,10756253223.60324
이건산업,-35.18796992481203,2638926304.6963563
두올,-42.41516966067864,4551618365.182186
한국수출포장,-16.236162361623617,518467521.659919
천일고속,-18.14621409921671,44843346.55870445
삼성공조,-50.888888888888886,1874652314.3724697
국보,-15.463917525773196,4156360799.2510123
유니온머티리얼,-45.90570719602978,5061379557.550608
태평양물산,-33.09481216457961,1840674532.8137653
대우부품,-27.047619047619047,3482772872.7125506
DSR,-23.601637107776263,3943338797.651822
시디즈,-39.39393939393939,134167774.89878543
DRB동일,-43.875,244915371.01214576
인바이오젠,-49.004594180704444,10968252195.303644
